Province,Basin,Section_name,Monitoring_time,Water_quality_class,Water_temperature(°C),pH,Dissolved_oxygen(mg/L),Electrical_conductivity(μS/cm),Turbidity(NTU),COD_Mn(mg/L),NH3-N(mg/L),TP(mg/L),TN(mg/L),Chlorophyll_a(mg/L),Algae_density(cells/L)
天津市,Hai River Basin,于桥水库库中心,09-14 12:00,2,23.9,8,6.3,469.6,5.3,5.1,0.02,0.026,2.11,0.016,5681670
河北省,Hai River Basin,姜各庄,09-14 12:00,1,20.2,8,7.9,485.7,36.7,2.6,0.02,0.086,4.38,0.042,5368257
河北省,Hai River Basin,衡水湖大湖心,09-14 12:00,2,25.4,9,6.1,1204.6,55.0,4.7,0.02,0.034,0.62,0.009,19984380
河北省,Hai River Basin,南刘庄,09-14 12:00,4,24.6,7,2.6,553.0,13.0,5.1,0.15,0.056,2.06,0.006,4337340
河北省,Hai River Basin,烧车淀,09-14 12:00,3,23.9,8,4.7,612.2,7.5,2.0,0.02,0.038,3.63,0.002,1504086
河北省,Hai River Basin,圈头,09-14 12:00,2,24.6,8,5.8,655.9,4.5,5.1,0.02,0.028,0.38,0.004,4732905
河北省,Hai River Basin,采蒲台,09-14 12:00,3,24.6,8,4.1,804.1,7.8,5.6,0.02,0.032,0.62,0.004,11757980
河北省,Hai River Basin,光淀张庄,09-14 12:00,3,24.5,8,3.9,542.1,8.6,3.5,0.02,0.023,3.19,0.003,1157774
山西省,Yellow River Basin,汾河水库出口,09-14 12:00,1,22.8,9,10.6,643.5,10.8,2.5,0.02,0.005,1.09,0.010,422754
内蒙古自治区,Songhua River Basin,小河口,09-14 12:00,4,15.6,9,8.9,1239.2,83.4,14.0,0.32,0.169,1.42,0.030,37131000
内蒙古自治区,Songhua River Basin,出口(察尔森水库),09-14 12:00,2,19.7,8,8.6,172.0,92.4,4.8,0.02,0.036,1.99,0.011,1742370
吉林省,Songhua River Basin,沙石浒,09-14 12:00,2,21.4,7,6.9,127.0,41.0,4.8,0.02,0.049,2.84,0.003,7817290
吉林省,Songhua River Basin,小荒地,09-14 12:00,3,21.2,7,6.5,110.1,73.3,4.8,0.02,0.080,3.03,0.007,77038510
黑龙江省,Songhua River Basin,磨盘山水库出口,09-14 12:00,2,20.2,7,8.3,67.6,5.4,5.6,0.02,0.037,1.90,0.005,1531900
黑龙江省,Songhua River Basin,三道,09-14 12:00,4,21.8,7,6.0,106.6,134.4,5.4,0.08,0.136,3.89,0.032,22016
黑龙江省,Songhua River Basin,电视塔,09-14 12:00,3,21.8,6,5.8,86.2,36.3,7.1,0.02,0.086,2.11,0.018,76800
上海市,Lake Tai Basin,急水港桥,09-14 12:00,2,31.2,7,5.8,699.0,45.4,4.4,0.13,0.098,1.12,0.007,12169000
江苏省,Yangtze River Basin,石臼湖省界湖心,09-14 12:00,3,31.8,8,7.1,2.7,17.6,8.3,0.02,0.047,0.42,0.040,11827960
江苏省,Lake Tai Basin,锡东水厂,09-14 08:00,3,30.7,9,7.3,300.0,51.2,2.7,0.02,0.077,1.18,0.007,14230600
江苏省,Lake Tai Basin,兰山嘴,09-14 12:00,3,33.9,8,9.9,273.2,23.9,3.4,0.02,0.090,0.57,0.007,7963134
江苏省,Lake Tai Basin,拖山,09-14 12:00,3,32.2,8,9.8,358.9,23.9,3.6,0.02,0.085,0.47,0.008,5940335
江苏省,Lake Tai Basin,五里湖心,09-14 12:00,3,31.2,8,13.1,331.3,15.9,9.3,0.02,0.074,0.52,0.011,16188600
江苏省,Lake Tai Basin,胥湖心,09-14 12:00,1,31.4,9,8.6,366.8,6.7,2.2,0.02,0.011,0.36,0.001,2173250
江苏省,Lake Tai Basin,乌龟山南,09-14 12:00,2,32.0,9,8.3,401.9,7.5,2.4,0.02,0.027,0.21,0.005,5216540
江苏省,Lake Tai Basin,阳澄湖心,09-14 12:00,2,31.9,8,11.7,338.5,8.7,3.9,0.02,0.034,0.63,0.005,5286610
江苏省,Huai River Basin,老山乡,09-14 12:00,3,30.0,8,6.8,529.5,65.2,3.6,0.02,0.088,1.66,0.011,10758000
江苏省,Huai River Basin,高良涧镇,09-14 12:00,3,30.3,9,9.8,474.0,47.5,5.3,0.02,0.075,0.25,0.019,15913600
江苏省,Huai River Basin,洪金,09-14 12:00,3,29.4,7,4.6,453.2,16.7,8.0,0.02,0.069,1.30,0.022,18377300
江苏省,Huai River Basin,临淮乡,09-14 12:00,3,29.5,7,3.4,619.4,56.5,4.6,0.30,0.082,1.44,0.001,15251000
江苏省,Huai River Basin,成河乡中,09-14 12:00,3,29.2,9,9.1,501.1,43.3,5.2,0.02,0.086,1.42,0.023,24004810
江苏省,Huai River Basin,龙集镇北,09-14 12:00,3,30.0,9,10.1,578.4,42.1,3.3,0.03,0.056,0.33,0.018,15711530
江苏省,Huai River Basin,骆马湖乡,09-14 12:00,3,26.1,9,13.7,525.8,35.4,7.4,0.02,0.056,1.37,0.017,36697300
浙江省,Zhejiang-Fujian Rivers,北湖中心,09-14 08:00,3,29.3,7,4.4,92.9,23.0,3.6,0.03,0.037,0.97,0.009,663780
浙江省,Zhejiang-Fujian Rivers,铜山源水库,09-14 08:00,1,30.7,9,7.5,81.1,5.4,1.0,0.02,0.017,0.18,0.021,8245000
浙江省,Zhejiang-Fujian Rivers,里石门水库,09-14 12:00,1,30.3,8,6.9,68.8,3.2,1.9,0.02,0.010,0.33,0.013,5299216
安徽省,Chao Lake Basin,湖滨,09-14 12:00,4,30.5,9,8.3,287.2,108.7,5.2,0.02,0.185,1.91,0.011,61366290
安徽省,Chao Lake Basin,黄麓,09-14 12:00,3,28.8,9,7.8,284.8,68.6,5.1,0.02,0.063,0.61,0.024,76328400
安徽省,Chao Lake Basin,靠近大坝,09-14 12:00,2,29.3,9,8.3,115.9,8.8,3.7,0.02,0.026,0.28,0.023,14106680
安徽省,Chao Lake Basin,新河入湖区,09-14 12:00,5,27.6,9,8.8,361.1,53.7,8.1,0.02,0.208,1.47,0.008,116329500
安徽省,Chao Lake Basin,西半湖湖心,09-14 12:00,5,28.9,9,11.3,309.4,123.8,11.2,0.02,0.288,1.02,0.012,45057320
安徽省,Chao Lake Basin,龟山,09-14 12:00,3,29.6,9,7.9,265.6,52.3,5.2,0.02,0.076,1.34,0.009,37453700
安徽省,Chao Lake Basin,东半湖湖心,09-14 12:00,3,29.0,9,6.6,282.2,30.5,5.0,0.02,0.060,0.66,0.012,25456120
安徽省,Chao Lake Basin,兆河入湖区,09-14 12:00,4,28.6,8,7.2,253.4,29.6,5.6,0.02,0.115,1.31,0.035,158149300
安徽省,Huai River Basin,焦岗湖,09-14 12:00,3,26.4,8,5.3,809.4,69.9,7.0,0.21,0.055,0.66,0.020,14587360
安徽省,Yangtze River Basin,龙感湖湖心（皖）,09-14 12:00,3,25.9,9,9.4,175.7,37.3,6.2,0.04,0.086,0.46,0.024,41686470
安徽省,Yangtze River Basin,武昌湖,09-14 12:00,3,30.6,9,7.3,134.2,9.6,3.9,0.02,0.052,0.83,0.006,5578131
安徽省,Yangtze River Basin,大官湖,09-14 12:00,2,27.1,8,9.7,218.6,32.0,5.3,0.02,0.050,0.53,0.010,27292940
安徽省,Yangtze River Basin,黄湖,09-14 12:00,3,28.1,9,8.6,260.9,31.8,5.9,0.06,0.063,0.35,0.013,30454680
安徽省,Yangtze River Basin,太平湖湖心,09-14 12:00,1,30.9,9,7.8,93.1,4.1,2.2,0.04,0.008,0.08,0.002,11305520
安徽省,Yangtze River Basin,南漪湖西湖湖心,09-14 12:00,3,32.6,9,12.0,162.2,27.5,7.7,0.02,0.076,1.91,0.025,156941200
福建省,Zhejiang-Fujian Rivers,山美水库库心,09-14 12:00,1,32.0,9,12.6,119.9,4.8,1.7,0.02,0.013,1.12,0.025,12159300
江西省,Yangtze River Basin,南矶山,09-14 12:00,4,30.1,7,5.3,210.7,224.1,12.0,0.66,0.185,1.35,0.03,101470800
江西省,Yangtze River Basin,蛤蟆石,09-14 08:00,3,30.4,7,3.9,169.6,75.6,2.3,0.02,0.066,0,0.001,657409
江西省,Yangtze River Basin,都昌,09-14 08:00,3,30.5,7,3.3,168.5,176.0,2.5,0.12,0.072,2.09,0.054,7669141
江西省,Yangtze River Basin,仙女湖湖心岛,09-14 12:00,3,31.4,8,6.5,218.0,8.0,4.4,0.17,0.080,0.70,0.010,32044120
山东省,Huai River Basin,崂山水库中心,09-14 08:00,4,26.2,7,2.6,235.3,8.1,3.7,0.06,0.021,2.56,0.028,2112000
山东省,Huai River Basin,二级坝,09-14 12:00,2,28.2,8,6.4,745.9,7.0,5.3,0.03,0.044,0.94,0.014,29250000
山东省,Huai River Basin,云蒙湖湖心,09-14 12:00,2,27.5,8,7.4,417.3,4.7,3.7,0.02,0.041,7.47,0.012,4938330
山东省,Hai River Basin,北湖,09-14 12:00,1,26.5,9,8.3,954.2,3.0,2.7,0.02,0.011,1.38,0.011,9224062
